"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/01/2022","AQS","010030010","1","0.054","ppm","50","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/02/2022","AQS","010030010","1","0.055","ppm","51","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/04/2022","AQS","010030010","1","0.063","ppm","77","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/05/2022","AQS","010030010","1","0.044","ppm","41","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/06/2022","AQS","010030010","1","0.033","ppm","31","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/07/2022","AQS","010030010","1","0.029","ppm","27","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/08/2022","AQS","010030010","1","0.02","ppm","19","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/09/2022","AQS","010030010","1","0.022","ppm","20","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/10/2022","AQS","010030010","1","0.037","ppm","34","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/11/2022","AQS","010030010","1","0.031","ppm","29","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/12/2022","AQS","010030010","1","0.043","ppm","40","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/13/2022","AQS","010030010","1","0.045","ppm","42","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/14/2022","AQS","010030010","1","0.042","ppm","39","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/15/2022","AQS","010030010","1","0.043","ppm","40","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/16/2022","AQS","010030010","1","0.041","ppm","38","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/17/2022","AQS","010030010","1","0.045","ppm","42","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/18/2022","AQS","010030010","1","0.035","ppm","32","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/19/2022","AQS","010030010","1","0.041","ppm","38","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/20/2022","AQS","010030010","1","0.046","ppm","43","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/21/2022","AQS","010030010","1","0.049","ppm","45","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/22/2022","AQS","010030010","1","0.041","ppm","38","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"03/23/2022","AQS","010030010","1","0.044","ppm","41","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
